	captured_length	eth_dst	eth_src	highest_layer	info_line	interface_captured	ip_dst	ip_src	length	number	project_id	sniff_timestamp	tcp_dstport	tcp_srcport	tcp_stream
28	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	[TCP segment of a reassembled PDU]		192.150.11.111	98.114.205.102	1514	29	2	2009-04-20 06:28:30	445	1828	1
29	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=795 Ack=2350 Win=11680 Len=0		98.114.205.102	192.150.11.111	54	30	2	2009-04-20 06:28:30	1828	445	1
30	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	[TCP segment of a reassembled PDU]		192.150.11.111	98.114.205.102	1514	31	2	2009-04-20 06:28:30	445	1828	1
31	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=795 Ack=3810 Win=14600 Len=0		98.114.205.102	192.150.11.111	54	32	2	2009-04-20 06:28:30	1828	445	1
32	454	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DSSETUP	DsRoleUpgradeDownlevelServer request[Long frame (3208 bytes)]		192.150.11.111	98.114.205.102	454	33	2	2009-04-20 06:28:30	445	1828	1
33	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	445 > 1828 [ACK] Seq=795 Ack=4210 Win=17520 Len=0		98.114.205.102	192.150.11.111	54	34	2	2009-04-20 06:28:30	1828	445	1
34	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	[TCP Dup ACK 33#1] 1828 > 445 [ACK] Seq=4210 Ack=795 Win=63446 Len=0		192.150.11.111	98.114.205.102	60	35	2	2009-04-20 06:28:30	445	1828	1
35	62	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1924 > 1957 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1		192.150.11.111	98.114.205.102	62	36	2	2009-04-20 06:28:30	1957	1924	2
36	62	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1957 > 1924 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1		98.114.205.102	192.150.11.111	62	37	2	2009-04-20 06:28:30	1924	1957	2
37	162	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DSSETUP	DsRoleUpgradeDownlevelServer response[Long frame (20 bytes)]		98.114.205.102	192.150.11.111	162	38	2	2009-04-20 06:28:30	1828	445	1
38	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1924 > 1957 [ACK] Seq=1 Ack=1 Win=64240 Len=0		192.150.11.111	98.114.205.102	60	39	2	2009-04-20 06:28:30	1957	1924	2
39	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1828 > 445 [ACK] Seq=4210 Ack=903 Win=63338 Len=0		192.150.11.111	98.114.205.102	60	40	2	2009-04-20 06:28:30	445	1828	1
40	55	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	1957 > 1924 [PSH, ACK] Seq=1 Ack=1 Win=5840 Len=1		98.114.205.102	192.150.11.111	55	41	2	2009-04-20 06:28:31	1924	1957	2
41	177	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	1924 > 1957 [PSH, ACK] Seq=1 Ack=2 Win=64239 Len=123		192.150.11.111	98.114.205.102	177	42	2	2009-04-20 06:28:31	1957	1924	2
42	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1957 > 1924 [ACK] Seq=2 Ack=124 Win=5840 Len=0		98.114.205.102	192.150.11.111	54	43	2	2009-04-20 06:28:31	1924	1957	2
43	64	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	1924 > 1957 [PSH, ACK] Seq=124 Ack=2 Win=64239 Len=10		192.150.11.111	98.114.205.102	64	44	2	2009-04-20 06:28:32	1957	1924	2
44	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1957 > 1924 [ACK] Seq=2 Ack=134 Win=5840 Len=0		98.114.205.102	192.150.11.111	54	45	2	2009-04-20 06:28:32	1924	1957	2
45	55	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	1957 > 1924 [PSH, ACK] Seq=2 Ack=134 Win=5840 Len=1		98.114.205.102	192.150.11.111	55	46	2	2009-04-20 06:28:33	1924	1957	2
46	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1924 > 1957 [FIN, ACK] Seq=134 Ack=3 Win=64238 Len=0		192.150.11.111	98.114.205.102	60	47	2	2009-04-20 06:28:33	1957	1924	2
47	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1957 > 1924 [FIN, ACK] Seq=3 Ack=135 Win=5840 Len=0		98.114.205.102	192.150.11.111	54	48	2	2009-04-20 06:28:33	1924	1957	2
48	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1828 > 445 [RST] Seq=4210 Win=0 Len=0		192.150.11.111	98.114.205.102	60	49	2	2009-04-20 06:28:33	445	1828	1
49	74	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	36296 > 8884 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=4055633882 TSecr=0 WS=128		98.114.205.102	192.150.11.111	74	50	2	2009-04-20 06:28:33	8884	36296	3
50	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	1924 > 1957 [ACK] Seq=135 Ack=4 Win=64238 Len=0		192.150.11.111	98.114.205.102	60	51	2	2009-04-20 06:28:33	1957	1924	2
51	78	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	8884 > 36296 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 WS=1 TSval=0 TSecr=0 SACK_PERM=1		192.150.11.111	98.114.205.102	78	52	2	2009-04-20 06:28:33	36296	8884	3
52	66	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	36296 > 8884 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=4055633911 TSecr=0		98.114.205.102	192.150.11.111	66	53	2	2009-04-20 06:28:33	8884	36296	3
53	87	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	8884 > 36296 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=21 TSval=438613 TSecr=4055633911		192.150.11.111	98.114.205.102	87	54	2	2009-04-20 06:28:33	36296	8884	3
54	66	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	36296 > 8884 [ACK] Seq=1 Ack=22 Win=5888 Len=0 TSval=4055633948 TSecr=438613		98.114.205.102	192.150.11.111	66	55	2	2009-04-20 06:28:33	8884	36296	3
55	74	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	36296 > 8884 [PSH, ACK] Seq=1 Ack=22 Win=5888 Len=8 TSval=4055633948 TSecr=438613		98.114.205.102	192.150.11.111	74	56	2	2009-04-20 06:28:33	8884	36296	3
56	88	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	8884 > 36296 [PSH, ACK] Seq=22 Ack=9 Win=64232 Len=22 TSval=438614 TSecr=4055633948		192.150.11.111	98.114.205.102	88	57	2	2009-04-20 06:28:33	36296	8884	3
57	74	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	36296 > 8884 [PSH, ACK] Seq=9 Ack=44 Win=5888 Len=8 TSval=4055633980 TSecr=438614		98.114.205.102	192.150.11.111	74	58	2	2009-04-20 06:28:33	8884	36296	3
58	86	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	8884 > 36296 [PSH, ACK] Seq=44 Ack=17 Win=64224 Len=20 TSval=438616 TSecr=4055633980		192.150.11.111	98.114.205.102	86	59	2	2009-04-20 06:28:33	36296	8884	3
59	72	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	36296 > 8884 [PSH, ACK] Seq=17 Ack=64 Win=5888 Len=6 TSval=4055634012 TSecr=438616		98.114.205.102	192.150.11.111	72	60	2	2009-04-20 06:28:33	8884	36296	3
60	79	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	8884 > 36296 [PSH, ACK] Seq=64 Ack=23 Win=64218 Len=13 TSval=438617 TSecr=4055634012		192.150.11.111	98.114.205.102	79	61	2	2009-04-20 06:28:34	36296	8884	3
61	74	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	36296 > 8884 [PSH, ACK] Seq=23 Ack=77 Win=5888 Len=8 TSval=4055634045 TSecr=438617		98.114.205.102	192.150.11.111	74	62	2	2009-04-20 06:28:34	8884	36296	3
62	85	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	8884 > 36296 [PSH, ACK] Seq=77 Ack=31 Win=64210 Len=19 TSval=438618 TSecr=4055634045		192.150.11.111	98.114.205.102	85	63	2	2009-04-20 06:28:34	36296	8884	3
63	92	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	36296 > 8884 [PSH, ACK] Seq=31 Ack=96 Win=5888 Len=26 TSval=4055634079 TSecr=438618		98.114.205.102	192.150.11.111	92	64	2	2009-04-20 06:28:34	8884	36296	3
64	95	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	8884 > 36296 [PSH, ACK] Seq=96 Ack=57 Win=64184 Len=29 TSval=438620 TSecr=4055634079		192.150.11.111	98.114.205.102	95	65	2	2009-04-20 06:28:34	36296	8884	3
65	81	00:08:e2:3b:56:01	00:30:48:62:4e:4a	DATA	36296 > 8884 [PSH, ACK] Seq=57 Ack=125 Win=5888 Len=15 TSval=4055634113 TSecr=438620		98.114.205.102	192.150.11.111	81	66	2	2009-04-20 06:28:34	8884	36296	3
66	106	00:30:48:62:4e:4a	00:08:e2:3b:56:01	DATA	8884 > 36296 [PSH, ACK] Seq=125 Ack=72 Win=64169 Len=40 TSval=438621 TSecr=4055634113		192.150.11.111	98.114.205.102	106	67	2	2009-04-20 06:28:34	36296	8884	3
67	62	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	2152 > 1080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1		192.150.11.111	98.114.205.102	62	68	2	2009-04-20 06:28:34	1080	2152	4
68	62	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1		98.114.205.102	192.150.11.111	62	69	2	2009-04-20 06:28:34	2152	1080	4
69	66	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	36296 > 8884 [ACK] Seq=72 Ack=165 Win=5888 Len=0 TSval=4055634156 TSecr=438621		98.114.205.102	192.150.11.111	66	70	2	2009-04-20 06:28:34	8884	36296	3
70	60	00:30:48:62:4e:4a	00:08:e2:3b:56:01	TCP	2152 > 1080 [ACK] Seq=1 Ack=1 Win=64240 Len=0		192.150.11.111	98.114.205.102	60	71	2	2009-04-20 06:28:34	1080	2152	4
71	1078	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1078	72	2	2009-04-20 06:28:34	1080	2152	4
72	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=1025 Win=7168 Len=0		98.114.205.102	192.150.11.111	54	73	2	2009-04-20 06:28:34	2152	1080	4
73	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	74	2	2009-04-20 06:28:34	1080	2152	4
74	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=2485 Win=10220 Len=0		98.114.205.102	192.150.11.111	54	75	2	2009-04-20 06:28:34	2152	1080	4
75	490	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	490	76	2	2009-04-20 06:28:34	1080	2152	4
76	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=2921 Win=13140 Len=0		98.114.205.102	192.150.11.111	54	77	2	2009-04-20 06:28:34	2152	1080	4
77	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	78	2	2009-04-20 06:28:34	1080	2152	4
78	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=4381 Win=16060 Len=0		98.114.205.102	192.150.11.111	54	79	2	2009-04-20 06:28:34	2152	1080	4
79	1078	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1078	80	2	2009-04-20 06:28:34	1080	2152	4
80	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=5405 Win=18980 Len=0		98.114.205.102	192.150.11.111	54	81	2	2009-04-20 06:28:34	2152	1080	4
81	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	82	2	2009-04-20 06:28:34	1080	2152	4
82	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=6865 Win=21900 Len=0		98.114.205.102	192.150.11.111	54	83	2	2009-04-20 06:28:34	2152	1080	4
83	1382	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1382	84	2	2009-04-20 06:28:34	1080	2152	4
84	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=8193 Win=24820 Len=0		98.114.205.102	192.150.11.111	54	85	2	2009-04-20 06:28:34	2152	1080	4
85	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	86	2	2009-04-20 06:28:34	1080	2152	4
86	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=9653 Win=27740 Len=0		98.114.205.102	192.150.11.111	54	87	2	2009-04-20 06:28:34	2152	1080	4
87	622	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	622	88	2	2009-04-20 06:28:34	1080	2152	4
88	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=10221 Win=30660 Len=0		98.114.205.102	192.150.11.111	54	89	2	2009-04-20 06:28:34	2152	1080	4
89	74	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	74	90	2	2009-04-20 06:28:34	1080	2152	4
90	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=10241 Win=30660 Len=0		98.114.205.102	192.150.11.111	54	91	2	2009-04-20 06:28:34	2152	1080	4
91	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	92	2	2009-04-20 06:28:34	1080	2152	4
92	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=11701 Win=33580 Len=0		98.114.205.102	192.150.11.111	54	93	2	2009-04-20 06:28:34	2152	1080	4
93	642	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	642	94	2	2009-04-20 06:28:34	1080	2152	4
94	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=12289 Win=36500 Len=0		98.114.205.102	192.150.11.111	54	95	2	2009-04-20 06:28:34	2152	1080	4
95	1078	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1078	96	2	2009-04-20 06:28:35	1080	2152	4
96	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=13313 Win=39420 Len=0		98.114.205.102	192.150.11.111	54	97	2	2009-04-20 06:28:35	2152	1080	4
97	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	98	2	2009-04-20 06:28:35	1080	2152	4
98	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=14773 Win=42340 Len=0		98.114.205.102	192.150.11.111	54	99	2	2009-04-20 06:28:35	2152	1080	4
99	642	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	642	100	2	2009-04-20 06:28:35	1080	2152	4
100	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=15361 Win=45260 Len=0		98.114.205.102	192.150.11.111	54	101	2	2009-04-20 06:28:35	2152	1080	4
101	1078	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1078	102	2	2009-04-20 06:28:35	1080	2152	4
102	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=16385 Win=48180 Len=0		98.114.205.102	192.150.11.111	54	103	2	2009-04-20 06:28:35	2152	1080	4
103	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	104	2	2009-04-20 06:28:35	1080	2152	4
104	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=17845 Win=51100 Len=0		98.114.205.102	192.150.11.111	54	105	2	2009-04-20 06:28:35	2152	1080	4
105	642	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	642	106	2	2009-04-20 06:28:35	1080	2152	4
106	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=18433 Win=54020 Len=0		98.114.205.102	192.150.11.111	54	107	2	2009-04-20 06:28:35	2152	1080	4
107	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	108	2	2009-04-20 06:28:35	1080	2152	4
108	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=19893 Win=56940 Len=0		98.114.205.102	192.150.11.111	54	109	2	2009-04-20 06:28:35	2152	1080	4
109	642	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	642	110	2	2009-04-20 06:28:35	1080	2152	4
110	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=20481 Win=59860 Len=0		98.114.205.102	192.150.11.111	54	111	2	2009-04-20 06:28:35	2152	1080	4
111	1078	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1078	112	2	2009-04-20 06:28:35	1080	2152	4
112	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=21505 Win=62780 Len=0		98.114.205.102	192.150.11.111	54	113	2	2009-04-20 06:28:35	2152	1080	4
113	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	114	2	2009-04-20 06:28:35	1080	2152	4
114	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=22965 Win=62780 Len=0		98.114.205.102	192.150.11.111	54	115	2	2009-04-20 06:28:35	2152	1080	4
115	642	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	642	116	2	2009-04-20 06:28:35	1080	2152	4
116	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=23553 Win=62780 Len=0		98.114.205.102	192.150.11.111	54	117	2	2009-04-20 06:28:35	2152	1080	4
117	1078	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1078	118	2	2009-04-20 06:28:35	1080	2152	4
118	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=24577 Win=62780 Len=0		98.114.205.102	192.150.11.111	54	119	2	2009-04-20 06:28:35	2152	1080	4
119	1078	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1078	120	2	2009-04-20 06:28:35	1080	2152	4
120	54	00:08:e2:3b:56:01	00:30:48:62:4e:4a	TCP	1080 > 2152 [ACK] Seq=1 Ack=25601 Win=63488 Len=0		98.114.205.102	192.150.11.111	54	121	2	2009-04-20 06:28:35	2152	1080	4
121	1514	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	1514	122	2	2009-04-20 06:28:35	1080	2152	4
122	642	00:30:48:62:4e:4a	00:08:e2:3b:56:01	SOCKS	Unknown		192.150.11.111	98.114.205.102	642	123	2	2009-04-20 06:28:35	1080	2152	4
