action_id	action_type	action_params	session_id	user_id	project_id	creation_time	parent_display_id	child_display_id	solution
31	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}], 'groupPriority': 0}	3	7	1	2016-08-18 17:43:46	33	34	False
32	filter	{'field': 'info_line', 'term': 'ping', 'condition': 16}	4	8	1	2016-08-21 18:49:17	35	36	False
33	group	{'field': 'length', 'aggregations': [], 'groupPriority': 0}	4	8	1	2016-08-21 18:49:45	36	37	False
0	back		4	8	1		37	36	False
34	group	{'field': 'ip_src', 'aggregations': [{'field': 'length', 'type': 'avg'}], 'groupPriority': 0}	4	8	1	2016-08-21 18:50:12	36	38	False
0	back		4	8	1		38	36	False
0	back		4	8	1		36	35	False
35	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 32}	4	8	1	2016-08-21 18:51:17	35	39	False
36	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}, {'field': 'length', 'type': 'sum'}], 'groupPriority': 0}	4	8	1	2016-08-21 18:51:53	39	40	False
37	filter	{'field': 'ip_dst', 'term': '82.108', 'condition': 2}	5	9	1	2016-08-22 13:56:24	41	42	False
0	back		5	9	1		42	41	False
38	group	{'field': 'eth_dst', 'aggregations': [], 'groupPriority': 0}	5	9	1	2016-08-22 13:57:11	41	43	False
0	back		5	9	1		43	41	False
39	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'count'}, {'field': 'length', 'type': 'sum'}], 'groupPriority': 0}	5	9	1	2016-08-22 14:00:19	41	44	False
0	back		5	9	1		44	41	False
40	group	{'field': 'tcp_stream', 'aggregations': [], 'groupPriority': 0}	5	9	1	2016-08-22 14:03:20	41	45	False
41	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 32}	5	9	1	2016-08-22 14:05:25	45	46	False
42	group	{'field': 'eth_src', 'aggregations': [], 'groupPriority': 0}	6	9	1	2016-08-22 14:20:54	47	48	False
43	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 1}	6	9	1	2016-08-22 14:20:58	48	49	False
44	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 2}	6	9	1	2016-08-22 14:39:26	49	50	False
0	back		6	9	1		50	49	False
45	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 2}	6	9	1	2016-08-22 14:42:30	49	51	False
0	back		6	9	1		51	49	False
46	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 2}	6	9	1	2016-08-22 14:46:44	49	52	False
47	filter	{'field': 'highest_layer', 'term': 'ICMP', 'condition': 512}	6	9	1	2016-08-22 14:48:22	52	53	False
0	back		6	9	1		53	52	False
48	filter	{'field': 'tcp_dstport', 'term': '445', 'condition': 512}	6	9	1	2016-08-22 14:51:08	52	54	False
49	group	{'field': 'eth_src', 'aggregations': [], 'groupPriority': 0}	7	9	1	2016-08-22 14:54:45	55	56	True
50	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 1}	7	9	1	2016-08-22 14:54:53	56	57	True
51	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 2}	7	9	1	2016-08-22 14:55:13	57	58	True
52	group	{'field': 'tcp_dstport', 'aggregations': [], 'groupPriority': 3}	7	9	1	2016-08-22 14:55:35	58	59	True
0	back		7	9	1		59	58	True
0	back		7	9	1		58	57	True
53	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 2}	7	9	1	2016-08-22 15:00:05	57	60	True
0	back		7	9	1		60	57	True
55	filter	{'field': 'ip_dst', 'term': '82.108.10.174', 'condition': 8}	7	9	1	2016-08-22 15:07:44	57	62	True
0	back		7	9	1		62	57	True
0	back		7	9	1		57	56	True
0	back		7	9	1		56	55	True
56	filter	{'field': 'tcp_stream', 'term': '43', 'condition': 8}	7	9	1	2016-08-22 15:09:48	55	63	True
0	back		7	9	1		63	55	True
57	filter	{'field': 'ip_dst', 'term': '82.108.10.174', 'condition': 8}	7	9	1	2016-08-22 15:11:10	55	64	True
58	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	8	9	2	2016-08-22 15:15:52	65	66	False
59	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 1}	8	9	2	2016-08-22 15:18:24	66	67	False
0	back		8	9	2		67	66	False
0	back		8	9	2		66	65	False
65	filter	{'field': 'tcp_stream', 'term': '1', 'condition': 8}	8	9	2	2016-08-22 15:24:12	65	73	False
66	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	8	9	2	2016-08-22 15:24:30	73	74	False
70	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	8	9	2	2016-08-22 15:29:10	74	78	False
0	back		8	9	2		78	74	False
0	back		8	9	2		74	73	False
0	back		8	9	2		73	65	False
71	group	{'field': 'tcp_stream', 'aggregations': [], 'groupPriority': 0}	8	9	2	2016-08-22 15:29:49	65	79	False
72	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	8	9	2	2016-08-22 15:30:12	79	80	False
0	back		8	9	2		80	79	False
73	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	8	9	2	2016-08-22 15:30:36	79	81	False
75	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 8}	8	9	2	2016-08-22 16:30:47	81	83	False
0	back		8	9	2		83	81	False
0	back		8	9	2		81	79	False
76	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 8}	8	9	2	2016-08-22 16:31:05	79	84	False
0	back		8	9	2		84	79	False
77	filter	{'field': 'tcp_stream', 'term': '1', 'condition': 8}	8	9	2	2016-08-22 16:31:29	79	85	False
78	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	8	9	2	2016-08-22 16:31:45	85	86	False
80	group	{'field': 'tcp_stream', 'aggregations': [], 'groupPriority': 0}	8	9	2	2016-08-22 16:33:29	86	88	False
0	back		8	9	2		88	86	False
0	back		8	9	2		86	85	False
0	back		8	9	2		85	79	False
0	back		8	9	2		79	65	False
82	group	{'field': 'tcp_stream', 'aggregations': [], 'groupPriority': 0}	8	9	2	2016-08-22 16:33:43	65	90	False
83	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	9	9	2	2016-08-22 16:43:59	91	92	True
84	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 1}	9	9	2	2016-08-22 16:44:01	92	93	True
0	back		9	9	2		93	92	True
0	back		9	9	2		92	91	True
85	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	9	9	2	2016-08-22 16:44:29	91	94	True
0	back		9	9	2		94	91	True
86	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}, {'field': 'length', 'type': 'sum'}], 'groupPriority': 0}	9	9	2	2016-08-22 16:45:21	91	95	True
87	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	9	9	2	2016-08-22 16:45:47	95	96	True
88	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	10	5	2	2016-08-23 17:13:58	97	98	False
89	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 1}	10	5	2	2016-08-23 17:16:45	98	99	False
0	back		10	5	2		99	98	False
0	back		10	5	2		98	97	False
90	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	10	5	2	2016-08-23 17:18:03	97	100	False
91	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}, {'field': 'highest_layer', 'type': 'max'}, {'field': 'length', 'type': 'sum'}], 'groupPriority': 0}	10	5	2	2016-08-23 17:19:39	100	102	False
92	group	{'field': 'highest_layer', 'aggregations': [{'field': 'tcp_srcport', 'type': 'min'}, {'field': 'info_line', 'type': 'max'}], 'groupPriority': 0}	11	3	1	2016-08-23 17:19:43	101	103	True
94	group	{'field': 'ip_src', 'aggregations': [{'field': 'tcp_srcport', 'type': 'min'}, {'field': 'info_line', 'type': 'max'}], 'groupPriority': 1}	11	3	1	2016-08-23 17:20:20	103	105	True
95	group	{'field': 'ip_dst', 'aggregations': [{'field': 'tcp_srcport', 'type': 'min'}, {'field': 'info_line', 'type': 'max'}], 'groupPriority': 2}	11	3	1	2016-08-23 17:21:57	105	106	True
0	back		11	3	1		106	105	True
0	back		11	3	1		105	103	True
97	group	{'field': 'ip_dst', 'aggregations': [{'field': 'tcp_srcport', 'type': 'min'}, {'field': 'info_line', 'type': 'max'}], 'groupPriority': 2}	11	3	1	2016-08-23 17:26:23	103	108	True
98	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	12	5	2	2016-08-23 17:27:49	109	110	True
99	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 1}	12	5	2	2016-08-23 17:28:03	110	111	True
0	back		12	5	2		111	110	True
0	back		12	5	2		110	109	True
100	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'length', 'type': 'sum'}], 'groupPriority': 0}	12	5	2	2016-08-23 17:29:18	109	114	True
0	back		12	5	2		114	109	True
102	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}], 'groupPriority': 0}	12	5	2	2016-08-23 17:29:58	109	117	True
104	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	12	5	2	2016-08-23 17:30:12	117	119	True
101	group	{'field': 'eth_src', 'aggregations': [], 'groupPriority': 0}	14	3	2	2016-08-23 17:29:52	115	116	False
0	back		14	3	2		116	115	False
103	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	14	3	2	2016-08-23 17:30:05	115	118	False
0	back		14	3	2		118	115	False
106	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	14	3	2	2016-08-23 17:32:18	115	122	False
0	back		14	3	2		122	115	False
108	group	{'field': 'tcp_stream', 'aggregations': [], 'groupPriority': 0}	14	3	2	2016-08-23 17:33:05	115	124	False
105	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	15	5	1	2016-08-23 17:32:10	120	121	False
0	back		15	5	1		121	120	False
107	group	{'field': 'highest_layer', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}], 'groupPriority': 0}	15	5	1	2016-08-23 17:32:46	120	123	False
0	back		15	5	1		123	120	False
109	filter	{'field': 'info_line', 'term': 'request', 'condition': 16}	15	5	1	2016-08-23 17:33:59	120	125	False
110	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	15	5	1	2016-08-23 17:34:09	125	126	False
111	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	16	5	1	2016-08-23 17:34:50	127	128	False
112	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 1}	16	5	1	2016-08-23 17:35:08	128	129	False
0	back		16	5	1		129	128	False
0	back		16	5	1		128	127	False
113	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	16	5	1	2016-08-23 17:36:36	127	130	False
115	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	17	5	1	2016-08-23 17:37:45	132	133	True
0	back		17	5	1		133	132	True
116	group	{'field': 'eth_src', 'aggregations': [], 'groupPriority': 0}	17	5	1	2016-08-23 17:37:57	132	134	True
117	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 1}	17	5	1	2016-08-23 17:38:03	134	135	True
0	back		17	5	1		135	134	True
0	back		17	5	1		134	132	True
119	filter	{'field': 'info_line', 'term': 'Echo (ping) reply', 'condition': 16}	17	5	1	2016-08-23 17:40:36	132	137	True
120	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	17	5	1	2016-08-23 17:40:48	137	138	True
0	back		17	5	1		138	137	True
0	back		17	5	1		137	132	True
121	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	17	5	1	2016-08-23 17:41:25	132	139	True
0	back		17	5	1		139	132	True
122	filter	{'field': 'highest_layer', 'term': 'ICMP', 'condition': 512}	17	5	1	2016-08-23 17:41:42	132	140	True
123	group	{'field': 'tcp_dstport', 'aggregations': [], 'groupPriority': 0}	17	5	1	2016-08-23 17:42:05	140	141	True
124	filter	{'field': 'ip_dst', 'term': '192.168.1.122', 'condition': 512}	17	5	1	2016-08-23 17:43:16	141	142	True
125	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 1}	17	5	1	2016-08-23 17:43:50	142	143	True
126	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	18	3	2	2016-08-23 17:47:13	144	145	False
0	back		18	3	2		145	144	False
127	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	18	3	2	2016-08-23 17:47:35	144	146	False
128	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 1}	18	3	2	2016-08-23 17:47:37	146	147	False
0	back		18	3	2		147	146	False
129	group	{'field': 'tcp_stream', 'aggregations': [], 'groupPriority': 0}	18	3	2	2016-08-23 17:47:57	146	148	False
0	back		18	3	2		148	146	False
130	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}, {'field': 'highest_layer', 'type': 'min'}, {'field': 'length', 'type': 'sum'}], 'groupPriority': 0}	18	3	2	2016-08-23 17:49:09	146	149	False
131	group	{'field': 'tcp_dstport', 'aggregations': [], 'groupPriority': 0}	19	8	1	2016-08-24 20:36:29	150	151	False
134	group	{'field': 'tcp_dstport', 'aggregations': [], 'groupPriority': 0}	19	8	1	2016-08-24 20:38:23	151	154	False
0	back		19	8	1		154	151	False
135	group	{'field': 'tcp_stream', 'aggregations': [], 'groupPriority': 0}	19	8	1	2016-08-24 20:39:09	151	155	False
136	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 1}	19	8	1	2016-08-24 20:39:19	155	156	False
0	back		19	8	1		156	155	False
0	back		19	8	1		155	151	False
137	group	{'field': 'highest_layer', 'aggregations': [{'field': 'tcp_dstport', 'type': 'count'}], 'groupPriority': 0}	19	8	1	2016-08-24 20:40:45	151	157	False
0	back		19	8	1		157	151	False
138	group	{'field': 'highest_layer', 'aggregations': [{'field': 'tcp_dstport', 'type': 'count'}], 'groupPriority': 0}	19	8	1	2016-08-24 20:41:17	151	158	False
0	back		19	8	1		158	151	False
139	filter	{'field': 'tcp_dstport', 'term': '445', 'condition': 8}	19	8	1	2016-08-24 20:42:32	151	159	False
141	group	{'field': 'ip_src', 'aggregations': [{'field': 'eth_src', 'type': 'min'}, {'field': 'eth_dst', 'type': 'max'}], 'groupPriority': 0}	19	8	1	2016-08-24 20:43:47	159	161	False
0	back		19	8	1		161	159	False
142	group	{'field': 'ip_src', 'aggregations': [{'field': 'eth_dst', 'type': 'max'}], 'groupPriority': 0}	19	8	1	2016-08-24 20:44:17	159	162	False
0	back		19	8	1		162	159	False
0	back		19	8	1		159	151	False
145	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	19	8	1	2016-08-24 20:47:48	151	165	False
0	back		19	8	1		165	151	False
146	group	{'field': 'ip_src', 'aggregations': [{'field': 'eth_src', 'type': 'count'}], 'groupPriority': 0}	19	8	1	2016-08-24 20:48:19	151	166	False
0	back		19	8	1		166	151	False
0	back		19	8	1		151	150	False
149	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 32}	19	8	1	2016-08-24 20:50:21	150	169	False
0	back		19	8	1		169	150	False
150	group	{'field': 'tcp_srcport', 'aggregations': [], 'groupPriority': 0}	19	8	1	2016-08-24 20:52:19	150	170	False
0	back		19	8	1		170	150	False
151	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'highest_layer', 'type': 'max'}], 'groupPriority': 0}	19	8	1	2016-08-24 20:54:24	150	171	False
0	back		19	8	1		171	150	False
152	filter	{'field': 'highest_layer', 'term': 'TCP', 'condition': 512}	19	8	1	2016-08-24 20:54:55	150	172	False
153	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'highest_layer', 'type': 'max'}], 'groupPriority': 0}	19	8	1	2016-08-24 20:55:05	172	173	False
156	filter	{'field': 'ip_dst', 'term': '82.108.203.177', 'condition': 8}	19	8	1	2016-08-24 21:09:09	173	176	False
0	back		19	8	1		176	173	False
0	back		19	8	1		173	172	False
0	back		19	8	1		172	150	False
157	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'tcp_srcport', 'type': 'max'}, {'field': 'tcp_dstport', 'type': 'min'}], 'groupPriority': 0}	19	8	1	2016-08-24 21:11:13	150	177	False
175	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	21	10	3	2016-08-25 20:25:24	196	197	False
0	back		21	10	3		197	196	False
176	filter	{'field': 'highest_layer', 'term': 'HTTP', 'condition': 8}	21	10	3	2016-08-25 20:27:06	196	198	False
177	filter	{'field': 'info_line', 'term': 'GET', 'condition': 16}	21	10	3	2016-08-25 20:28:54	198	199	False
178	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	21	10	3	2016-08-25 20:28:56	199	200	False
179	group	{'field': 'ip_dst', 'aggregations': [], 'groupPriority': 1}	21	10	3	2016-08-25 20:29:10	200	201	False
0	back		21	10	3		201	200	False
0	back		21	10	3		200	199	False
0	back		21	10	3		199	198	False
180	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}], 'groupPriority': 0}	21	10	3	2016-08-25 20:38:44	198	202	False
181	filter	{'field': 'ip_src', 'term': '10.0.3.15', 'condition': 16}	21	10	3	2016-08-25 20:39:32	202	203	False
0	back		21	10	3		203	202	False
0	back		21	10	3		202	198	False
0	back		21	10	3		198	196	False
182	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 64}	21	10	3	2016-08-25 20:40:18	196	204	False
183	group	{'field': 'tcp_stream', 'aggregations': [{'field': 'ip_src', 'type': 'min'}, {'field': 'ip_dst', 'type': 'max'}, {'field': 'length', 'type': 'sum'}], 'groupPriority': 0}	21	10	3	2016-08-25 20:40:40	204	205	False
186	filter	{'field': 'ip_dst', 'term': '.56.52', 'condition': 16}	21	10	3	2016-08-25 20:44:06	205	208	False
0	back		21	10	3		208	205	False
0	back		21	10	3		205	204	False
190	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	21	10	3	2016-08-25 20:56:06	204	212	False
191	filter	{'field': 'info_line', 'term': 'applicatio', 'condition': 16}	21	10	3	2016-08-25 20:56:54	212	213	False
0	back		21	10	3		213	212	False
0	back		21	10	3		212	204	False
0	back		21	10	3		204	196	False
192	filter	{'field': 'info_line', 'term': 'honey', 'condition': 16}	21	10	3	2016-08-25 20:58:58	196	214	False
0	back		21	10	3		214	196	False
193	group	{'field': 'highest_layer', 'aggregations': [], 'groupPriority': 0}	21	10	3	2016-08-25 20:59:22	196	215	False
194	filter	{'field': 'ip_dst', 'term': '64.236.114.1', 'condition': 16}	21	10	3	2016-08-25 20:59:52	215	216	False
195	filter	{'field': 'highest_layer', 'term': 'ICMP', 'condition': 8}	22	8	1	2016-08-27 15:24:19	217	218	False
196	filter	{'field': 'ip_dst', 'term': '192.168.1.122', 'condition': 512}	22	8	1	2016-08-27 15:24:42	218	219	False
0	back		22	8	1		219	218	False
198	filter	{'field': 'ip_dst', 'term': '192.168.1.122', 'condition': 8}	22	8	1	2016-08-27 15:27:11	218	221	False
0	back		22	8	1		221	218	False
199	filter	{'field': 'tcp_srcport', 'term': '139', 'condition': 8}	22	8	1	2016-08-27 15:32:55	218	222	False
200	group	{'field': 'ip_src', 'aggregations': [{'field': 'tcp_dstport', 'type': 'count'}], 'groupPriority': 0}	22	8	1	2016-08-27 15:33:15	222	223	False
0	back		22	8	1		223	222	False
0	back		22	8	1		222	218	False
205	filter	{'field': 'ip_dst', 'term': '82.108.163.88', 'condition': 8}	22	8	1	2016-08-27 15:35:52	218	228	False
0	back		22	8	1		228	218	False
206	filter	{'field': 'tcp_stream', 'term': '1', 'condition': 8}	22	8	1	2016-08-27 15:36:33	218	229	False
0	back		22	8	1		229	218	False
207	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 8}	22	8	1	2016-08-27 15:41:00	218	230	False
208	group	{'field': 'tcp_dstport', 'aggregations': [], 'groupPriority': 0}	22	8	1	2016-08-27 15:41:20	230	231	False
0	back		22	8	1		231	230	False
0	back		22	8	1		230	218	False
209	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 32}	22	8	1	2016-08-27 15:44:02	218	232	False
210	filter	{'field': 'info_line', 'term': 'SYN', 'condition': 16}	22	8	1	2016-08-27 15:44:40	232	233	False
211	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 512}	22	8	1	2016-08-27 15:44:51	233	234	False
212	filter	{'field': 'info_line', 'term': 'SYN', 'condition': 16}	22	8	1	2016-08-27 15:44:57	234	235	False
0	back		22	8	1		235	234	False
0	back		22	8	1		234	233	False
0	back		22	8	1		233	232	False
213	filter	{'field': 'info_line', 'term': 'ACK', 'condition': 16}	22	8	1	2016-08-27 15:45:14	232	236	False
0	back		22	8	1		236	232	False
0	back		22	8	1		232	218	False
214	filter	{'field': 'info_line', 'term': 'ACK', 'condition': 16}	22	8	1	2016-08-27 15:45:26	218	237	False
0	back		22	8	1		237	218	False
0	back		22	8	1		218	217	False
215	filter	{'field': 'info_line', 'term': 'ACK', 'condition': 16}	22	8	1	2016-08-27 15:45:54	217	238	False
0	back		22	8	1		238	217	False
216	filter	{'field': 'info_line', 'term': 'SYN', 'condition': 16}	22	8	1	2016-08-27 15:46:14	217	239	False
217	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 512}	22	8	1	2016-08-27 15:46:33	239	240	False
218	filter	{'field': 'highest_layer', 'term': 'ICMP', 'condition': 8}	23	8	1	2016-08-27 15:53:21	241	242	True
220	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 8}	23	8	1	2016-08-27 15:54:17	242	244	True
0	back		23	8	1		244	242	True
0	back		23	8	1		242	241	True
221	filter	{'field': 'ip_dst', 'term': '82.108.163.88', 'condition': 8}	23	8	1	2016-08-27 15:57:55	241	245	True
0	back		23	8	1		245	241	True
223	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 8}	23	8	1	2016-08-27 15:59:07	241	247	True
224	group	{'field': 'tcp_dstport', 'aggregations': [{'field': 'ip_dst', 'type': 'count'}], 'groupPriority': 0}	23	8	1	2016-08-27 15:59:44	247	248	True
0	back		23	8	1		248	247	True
0	back		23	8	1		247	241	True
226	filter	{'field': 'info_line', 'term': 'SYN', 'condition': 16}	23	8	1	2016-08-27 16:02:53	241	250	True
227	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 512}	23	8	1	2016-08-27 16:03:09	250	251	True
0	back		23	8	1		251	250	True
0	back		23	8	1		250	241	True
228	filter	{'field': 'tcp_stream', 'term': '0', 'condition': 32}	23	8	1	2016-08-27 16:05:21	241	252	True
229	group	{'field': 'tcp_dstport', 'aggregations': [{'field': 'tcp_stream', 'type': 'count'}], 'groupPriority': 0}	23	8	1	2016-08-27 16:06:05	252	253	True
231	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 8}	23	8	1	2016-08-27 16:06:45	253	255	True
234	filter	{'field': 'tcp_stream', 'term': '1', 'condition': 8}	25	8	2	2016-08-27 16:53:18	259	260	False
0	back		25	8	2		260	259	False
235	filter	{'field': 'tcp_stream', 'term': '2', 'condition': 8}	25	8	2	2016-08-27 16:53:44	259	261	False
236	filter	{'field': 'eth_dst', 'term': '00:0c:29:54:bf:79', 'condition': 16}	27	11	1	2016-08-27 19:15:23	263	264	False
0	back		27	11	1		264	263	False
237	filter	{'field': 'ip_src', 'term': '82.108.163.88', 'condition': 16}	27	11	1	2016-08-27 19:22:41	263	265	False
0	back		27	11	1		265	263	False
238	filter	{'field': 'ip_dst', 'term': '192.168.1.122', 'condition': 16}	27	11	1	2016-08-27 19:25:00	263	266	False
239	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	27	11	1	2016-08-27 19:26:01	266	267	False
0	back		27	11	1		267	266	False
240	group	{'field': 'ip_src', 'aggregations': [], 'groupPriority': 0}	27	11	1	2016-08-27 19:26:27	266	268	False
0	back		27	11	1		268	266	False
0	back		27	11	1		266	263	False
241	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 16}	27	11	1	2016-08-27 19:30:43	263	269	False
0	back		27	11	1		269	263	False
242	filter	{'field': 'ip_src', 'term': '192.168.1.122', 'condition': 16}	27	11	1	2016-08-27 19:31:03	263	270	False
