	packet_number	captured_length	eth_dst	eth_src	highest_layer	info_line	interface_captured	ip_dst	ip_src	length	number	project_id	sniff_timestamp	tcp_dstport	tcp_srcport	tcp_stream
12	12	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=3072/12, ttl=128		82.108.45.114	192.168.1.122	75	13	1	2013-06-02 10:19:19			
13	13	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=3328/13, ttl=128		82.108.100.45	192.168.1.122	75	14	1	2013-06-02 10:19:19			
14	14	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=3584/14, ttl=128		82.108.41.170	192.168.1.122	75	15	1	2013-06-02 10:19:19			
15	15	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=3840/15, ttl=128		82.108.156.41	192.168.1.122	75	16	1	2013-06-02 10:19:19			
16	16	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=4096/16, ttl=128		82.108.93.221	192.168.1.122	75	17	1	2013-06-02 10:19:19			
17	17	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=4352/17, ttl=128		82.108.36.224	192.168.1.122	75	18	1	2013-06-02 10:19:19			
18	18	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=4608/18, ttl=128		82.108.53.105	192.168.1.122	75	19	1	2013-06-02 10:19:19			
19	19	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=4864/19, ttl=128		82.108.157.179	192.168.1.122	75	20	1	2013-06-02 10:19:19			
20	20	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=5120/20, ttl=128		82.108.162.234	192.168.1.122	75	21	1	2013-06-02 10:19:20			
21	21	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=5376/21, ttl=128		82.108.111.203	192.168.1.122	75	22	1	2013-06-02 10:19:20			
22	22	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=5632/22, ttl=128		82.108.121.239	192.168.1.122	75	23	1	2013-06-02 10:19:20			
23	23	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=5888/23, ttl=128		82.108.84.19	192.168.1.122	75	24	1	2013-06-02 10:19:20			
24	24	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=6144/24, ttl=128		82.108.30.4	192.168.1.122	75	25	1	2013-06-02 10:19:20			
25	25	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=6400/25, ttl=128		82.108.163.88	192.168.1.122	75	26	1	2013-06-02 10:19:20			
26	26	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=6656/26, ttl=128		82.108.180.225	192.168.1.122	75	27	1	2013-06-02 10:19:20			
27	27	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=6912/27, ttl=128		82.108.86.150	192.168.1.122	75	28	1	2013-06-02 10:19:20			
28	28	75	00:0c:29:54:bf:79	00:26:b9:2b:0b:59	ICMP	Echo (ping) reply    id=0x0200, seq=6400/25, ttl=50 (request in 26)		192.168.1.122	82.108.163.88	75	29	1	2013-06-02 10:19:20			
29	29	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=7168/28, ttl=128		82.108.163.88	192.168.1.122	75	30	1	2013-06-02 10:19:20			
30	30	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=7424/29, ttl=128		82.108.33.168	192.168.1.122	75	31	1	2013-06-02 10:19:20			
31	31	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=7680/30, ttl=128		82.108.116.121	192.168.1.122	75	32	1	2013-06-02 10:19:20			
32	32	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=7936/31, ttl=128		82.108.174.232	192.168.1.122	75	33	1	2013-06-02 10:19:20			
33	33	75	00:0c:29:54:bf:79	00:26:b9:2b:0b:59	ICMP	Echo (ping) reply    id=0x0200, seq=7168/28, ttl=50 (request in 30)		192.168.1.122	82.108.163.88	75	34	1	2013-06-02 10:19:20			
34	34	62	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	TCP	1054 > 139 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1		82.108.163.88	192.168.1.122	62	35	1	2013-06-02 10:19:20	139.0	1054.0	1.0
35	35	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=8192/32, ttl=128		82.108.71.153	192.168.1.122	75	36	1	2013-06-02 10:19:20			
36	36	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=8448/33, ttl=128		82.108.149.183	192.168.1.122	75	37	1	2013-06-02 10:19:20			
37	37	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=8704/34, ttl=128		82.108.115.214	192.168.1.122	75	38	1	2013-06-02 10:19:20			
38	38	54	00:0c:29:54:bf:79	00:26:b9:2b:0b:59	TCP	139 > 1054 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		192.168.1.122	82.108.163.88	54	39	1	2013-06-02 10:19:20	1054.0	139.0	1.0
39	39	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=8960/35, ttl=128		82.108.116.208	192.168.1.122	75	40	1	2013-06-02 10:19:20			
40	40	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=9216/36, ttl=128		82.108.197.116	192.168.1.122	75	41	1	2013-06-02 10:19:20			
41	41	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=9472/37, ttl=128		82.108.143.188	192.168.1.122	75	42	1	2013-06-02 10:19:20			
42	42	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=9728/38, ttl=128		82.108.158.15	192.168.1.122	75	43	1	2013-06-02 10:19:20			
43	43	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=9984/39, ttl=128		82.108.74.61	192.168.1.122	75	44	1	2013-06-02 10:19:20			
44	44	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=10240/40, ttl=128		82.108.163.60	192.168.1.122	75	45	1	2013-06-02 10:19:20			
45	45	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=10496/41, ttl=128		82.108.26.218	192.168.1.122	75	46	1	2013-06-02 10:19:20			
46	46	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=10752/42, ttl=128		82.108.4.131	192.168.1.122	75	47	1	2013-06-02 10:19:20			
47	47	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=11008/43, ttl=128		82.108.195.79	192.168.1.122	75	48	1	2013-06-02 10:19:20			
48	48	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=11264/44, ttl=128		82.108.101.41	192.168.1.122	75	49	1	2013-06-02 10:19:20			
49	49	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=11520/45, ttl=128		82.108.140.26	192.168.1.122	75	50	1	2013-06-02 10:19:20			
50	50	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=11776/46, ttl=128		82.108.235.196	192.168.1.122	75	51	1	2013-06-02 10:19:20			
51	51	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=12032/47, ttl=128		82.108.103.48	192.168.1.122	75	52	1	2013-06-02 10:19:20			
52	52	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=12288/48, ttl=128		82.108.99.166	192.168.1.122	75	53	1	2013-06-02 10:19:20			
53	53	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=12544/49, ttl=128		82.108.142.212	192.168.1.122	75	54	1	2013-06-02 10:19:20			
54	54	62	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	TCP	[TCP Retransmission] 1054 > 139 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1		82.108.163.88	192.168.1.122	62	55	1	2013-06-02 10:19:20	139.0	1054.0	1.0
55	55	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=12800/50, ttl=128		82.108.20.125	192.168.1.122	75	56	1	2013-06-02 10:19:20			
56	56	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=13056/51, ttl=128		82.108.132.31	192.168.1.122	75	57	1	2013-06-02 10:19:20			
57	57	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=13312/52, ttl=128		82.108.239.25	192.168.1.122	75	58	1	2013-06-02 10:19:20			
58	58	54	00:0c:29:54:bf:79	00:26:b9:2b:0b:59	TCP	139 > 1054 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		192.168.1.122	82.108.163.88	54	59	1	2013-06-02 10:19:21	1054.0	139.0	1.0
59	59	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=13568/53, ttl=128		82.108.8.183	192.168.1.122	75	60	1	2013-06-02 10:19:21			
60	60	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=13824/54, ttl=128		82.108.105.209	192.168.1.122	75	61	1	2013-06-02 10:19:21			
61	61	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=14080/55, ttl=128		82.108.70.134	192.168.1.122	75	62	1	2013-06-02 10:19:21			
62	62	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=14336/56, ttl=128		82.108.231.17	192.168.1.122	75	63	1	2013-06-02 10:19:21			
63	63	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=14592/57, ttl=128		82.108.79.214	192.168.1.122	75	64	1	2013-06-02 10:19:21			
64	64	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=14848/58, ttl=128		82.108.176.91	192.168.1.122	75	65	1	2013-06-02 10:19:21			
65	65	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=15104/59, ttl=128		82.108.42.194	192.168.1.122	75	66	1	2013-06-02 10:19:21			
66	66	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=15360/60, ttl=128		82.108.176.244	192.168.1.122	75	67	1	2013-06-02 10:19:21			
67	67	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=15616/61, ttl=128		82.108.134.176	192.168.1.122	75	68	1	2013-06-02 10:19:21			
68	68	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=15872/62, ttl=128		82.108.84.191	192.168.1.122	75	69	1	2013-06-02 10:19:21			
69	69	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=16128/63, ttl=128		82.108.5.64	192.168.1.122	75	70	1	2013-06-02 10:19:21			
70	70	62	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	TCP	[TCP Retransmission] 1054 > 139 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1		82.108.163.88	192.168.1.122	62	71	1	2013-06-02 10:19:21	139.0	1054.0	1.0
71	71	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=16384/64, ttl=128		82.108.24.134	192.168.1.122	75	72	1	2013-06-02 10:19:21			
72	72	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=16640/65, ttl=128		82.108.225.10	192.168.1.122	75	73	1	2013-06-02 10:19:21			
73	73	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=16896/66, ttl=128		82.108.119.224	192.168.1.122	75	74	1	2013-06-02 10:19:21			
74	74	70	00:0c:29:54:bf:79	00:26:b9:2b:0b:59	ICMP	Time-to-live exceeded (Time to live exceeded in transit)		192.168.1.122	82.108.93.209	70	75	1	2013-06-02 10:19:21			
75	75	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=17152/67, ttl=128		82.108.93.221	192.168.1.122	75	76	1	2013-06-02 10:19:21			
76	76	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=17408/68, ttl=128		82.108.120.50	192.168.1.122	75	77	1	2013-06-02 10:19:21			
77	77	54	00:0c:29:54:bf:79	00:26:b9:2b:0b:59	TCP	139 > 1054 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0		192.168.1.122	82.108.163.88	54	78	1	2013-06-02 10:19:21	1054.0	139.0	1.0
78	78	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=17664/69, ttl=128		82.108.240.162	192.168.1.122	75	79	1	2013-06-02 10:19:21			
79	79	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=17920/70, ttl=128		82.108.230.122	192.168.1.122	75	80	1	2013-06-02 10:19:21			
80	80	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=18176/71, ttl=128		82.108.116.116	192.168.1.122	75	81	1	2013-06-02 10:19:21			
81	81	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=18432/72, ttl=128		82.108.66.44	192.168.1.122	75	82	1	2013-06-02 10:19:21			
82	82	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=18688/73, ttl=128		82.108.106.52	192.168.1.122	75	83	1	2013-06-02 10:19:21			
83	83	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=18944/74, ttl=128		82.108.72.128	192.168.1.122	75	84	1	2013-06-02 10:19:21			
84	84	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=19200/75, ttl=128		82.108.59.9	192.168.1.122	75	85	1	2013-06-02 10:19:21			
85	85	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=19456/76, ttl=128		82.108.166.170	192.168.1.122	75	86	1	2013-06-02 10:19:21			
86	86	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=19712/77, ttl=128		82.108.14.210	192.168.1.122	75	87	1	2013-06-02 10:19:21			
87	87	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=19968/78, ttl=128		82.108.36.46	192.168.1.122	75	88	1	2013-06-02 10:19:21			
88	88	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=20224/79, ttl=128		82.108.150.80	192.168.1.122	75	89	1	2013-06-02 10:19:21			
89	89	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=20480/80, ttl=128		82.108.24.168	192.168.1.122	75	90	1	2013-06-02 10:19:21			
90	90	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=20736/81, ttl=128		82.108.25.192	192.168.1.122	75	91	1	2013-06-02 10:19:21			
91	91	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=20992/82, ttl=128		82.108.6.189	192.168.1.122	75	92	1	2013-06-02 10:19:21			
92	92	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=21248/83, ttl=128		82.108.84.10	192.168.1.122	75	93	1	2013-06-02 10:19:21			
93	93	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=21504/84, ttl=128		82.108.255.172	192.168.1.122	75	94	1	2013-06-02 10:19:21			
94	94	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=21760/85, ttl=128		82.108.62.158	192.168.1.122	75	95	1	2013-06-02 10:19:21			
95	95	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=22016/86, ttl=128		82.108.28.12	192.168.1.122	75	96	1	2013-06-02 10:19:21			
96	96	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=22272/87, ttl=128		82.108.213.181	192.168.1.122	75	97	1	2013-06-02 10:19:21			
97	97	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=22528/88, ttl=128		82.108.189.213	192.168.1.122	75	98	1	2013-06-02 10:19:21			
98	98	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=22784/89, ttl=128		82.108.132.39	192.168.1.122	75	99	1	2013-06-02 10:19:21			
99	99	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=23040/90, ttl=128		82.108.45.114	192.168.1.122	75	100	1	2013-06-02 10:19:21			
100	100	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=23296/91, ttl=128		82.108.100.45	192.168.1.122	75	101	1	2013-06-02 10:19:21			
101	101	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=23552/92, ttl=128		82.108.22.238	192.168.1.122	75	102	1	2013-06-02 10:19:21			
102	102	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=23808/93, ttl=128		82.108.75.33	192.168.1.122	75	103	1	2013-06-02 10:19:21			
103	103	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=24064/94, ttl=128		82.108.1.52	192.168.1.122	75	104	1	2013-06-02 10:19:21			
104	104	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=24320/95, ttl=128		82.108.88.92	192.168.1.122	75	105	1	2013-06-02 10:19:21			
105	105	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=24576/96, ttl=128		82.108.2.167	192.168.1.122	75	106	1	2013-06-02 10:19:21			
106	106	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=24832/97, ttl=128		82.108.178.2	192.168.1.122	75	107	1	2013-06-02 10:19:21			
107	107	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=25088/98, ttl=128		82.108.83.217	192.168.1.122	75	108	1	2013-06-02 10:19:22			
108	108	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=25344/99, ttl=128		82.108.108.96	192.168.1.122	75	109	1	2013-06-02 10:19:22			
109	109	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=25600/100, ttl=128		82.108.160.151	192.168.1.122	75	110	1	2013-06-02 10:19:22			
110	110	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=25856/101, ttl=128		82.108.41.246	192.168.1.122	75	111	1	2013-06-02 10:19:22			
111	111	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=26112/102, ttl=128		82.108.11.111	192.168.1.122	75	112	1	2013-06-02 10:19:22			
112	112	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=26368/103, ttl=128		82.108.138.32	192.168.1.122	75	113	1	2013-06-02 10:19:22			
113	113	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=26624/104, ttl=128		82.108.73.178	192.168.1.122	75	114	1	2013-06-02 10:19:22			
114	114	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=26880/105, ttl=128		82.108.4.233	192.168.1.122	75	115	1	2013-06-02 10:19:22			
115	115	75	00:0c:29:54:bf:79	00:26:b9:2b:0b:59	ICMP	Echo (ping) reply    id=0x0200, seq=26112/102, ttl=241 (request in 112)		192.168.1.122	82.108.11.111	75	116	1	2013-06-02 10:19:22			
116	116	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=27136/106, ttl=128		82.108.11.111	192.168.1.122	75	117	1	2013-06-02 10:19:22			
117	117	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=27392/107, ttl=128		82.108.15.173	192.168.1.122	75	118	1	2013-06-02 10:19:22			
118	118	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=27648/108, ttl=128		82.108.17.47	192.168.1.122	75	119	1	2013-06-02 10:19:22			
119	119	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=27904/109, ttl=128		82.108.41.170	192.168.1.122	75	120	1	2013-06-02 10:19:22			
120	120	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=28160/110, ttl=128		82.108.156.41	192.168.1.122	75	121	1	2013-06-02 10:19:22			
121	121	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=28416/111, ttl=128		82.108.36.224	192.168.1.122	75	122	1	2013-06-02 10:19:22			
122	122	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=28672/112, ttl=128		82.108.53.105	192.168.1.122	75	123	1	2013-06-02 10:19:22			
123	123	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=28928/113, ttl=128		82.108.157.179	192.168.1.122	75	124	1	2013-06-02 10:19:22			
124	124	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=29184/114, ttl=128		82.108.162.234	192.168.1.122	75	125	1	2013-06-02 10:19:22			
125	125	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=29440/115, ttl=128		82.108.111.203	192.168.1.122	75	126	1	2013-06-02 10:19:22			
126	126	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=29696/116, ttl=128		82.108.121.239	192.168.1.122	75	127	1	2013-06-02 10:19:22			
127	127	75	00:26:b9:2b:0b:59	00:0c:29:54:bf:79	ICMP	Echo (ping) request  id=0x0200, seq=29952/117, ttl=128		82.108.84.19	192.168.1.122	75	128	1	2013-06-02 10:19:22			
